City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.19,168.86,62.96,56,93,10.04,NZ,2020-04-12 01:18:05
1,Hobart,-42.88,147.33,59.0,54,75,16.11,AU,2020-04-12 01:17:48
2,Ushuaia,-54.8,-68.3,41.0,75,40,20.8,AR,2020-04-12 01:17:54
3,Rikitea,-23.12,-134.97,78.06,73,49,4.88,PF,2020-04-12 01:18:06
4,Hilo,19.73,-155.09,82.4,65,40,4.16,US,2020-04-12 01:14:16
5,Pozo Colorado,-23.49,-58.8,66.24,45,0,4.23,PY,2020-04-12 01:18:06
6,Salalah,17.02,54.09,80.6,78,40,11.41,OM,2020-04-12 01:18:07
7,Hermanus,-34.42,19.23,63.0,93,100,18.01,ZA,2020-04-12 01:17:34
8,Torbay,47.67,-52.73,35.01,74,90,24.16,CA,2020-04-12 01:18:07
9,Saint George,37.1,-113.58,68.0,32,1,13.87,US,2020-04-12 01:15:31
10,Avarua,-21.21,-159.78,84.2,89,96,5.82,CK,2020-04-12 01:17:33
11,Atuona,-9.8,-139.03,82.67,64,38,5.21,PF,2020-04-12 01:18:08
12,Itarema,-2.92,-39.92,79.21,85,100,5.08,BR,2020-04-12 01:18:09
13,Butaritari,3.07,172.79,84.0,74,85,10.33,KI,2020-04-12 01:18:09
14,Severobaykalsk,55.65,109.32,34.83,68,100,8.39,RU,2020-04-12 01:18:09
15,Georgiyevka,43.04,74.71,46.4,81,100,4.47,KZ,2020-04-12 01:18:10
16,Jijiga,9.35,42.8,67.1,47,48,8.08,ET,2020-04-12 01:18:10
17,Babushkin,51.71,105.86,38.77,67,100,5.7,RU,2020-04-12 01:18:10
18,Meulaboh,4.14,96.13,80.35,79,58,0.18,ID,2020-04-12 01:18:14
19,Sechura,-5.56,-80.82,76.69,68,51,15.17,PE,2020-04-12 01:18:14
20,Hasaki,35.73,140.83,57.0,76,75,11.41,JP,2020-04-12 01:18:14
21,Punta Arenas,-53.15,-70.92,42.8,81,75,10.29,CL,2020-04-12 01:18:15
22,Yellowknife,62.46,-114.35,19.4,52,40,16.11,CA,2020-04-12 01:18:15
23,Kapaa,22.08,-159.32,78.8,73,90,17.22,US,2020-04-12 01:18:15
24,Fianarantsoa,-21.43,47.08,59.13,67,97,6.29,MG,2020-04-12 01:18:05
25,Tupi Paulista,-21.38,-51.57,69.66,72,30,5.39,BR,2020-04-12 01:18:16
26,Anqing,30.51,117.05,50.7,64,0,5.97,CN,2020-04-12 01:18:16
27,Jackson,42.42,-122.83,68.0,20,1,16.11,US,2020-04-12 01:15:02
28,Excelsior Springs,39.34,-94.23,68.0,63,1,10.29,US,2020-04-12 01:15:07
29,Bluff,-46.6,168.33,61.23,59,85,13.09,NZ,2020-04-12 01:18:17
30,Busselton,-33.65,115.33,73.99,59,92,9.22,AU,2020-04-12 01:15:33
31,Upernavik,72.79,-56.15,19.87,88,100,1.63,GL,2020-04-12 01:18:17
32,Mahebourg,-20.41,57.7,78.01,78,40,14.99,MU,2020-04-12 01:18:18
33,Albany,42.6,-73.97,42.8,38,1,9.17,US,2020-04-12 01:18:18
34,Port Alfred,-33.59,26.89,68.0,78,40,3.0,ZA,2020-04-12 01:18:18
35,Bambous Virieux,-20.34,57.76,78.01,78,40,14.99,MU,2020-04-12 01:15:42
36,Jamestown,42.1,-79.24,42.01,48,1,3.36,US,2020-04-12 01:16:35
37,Qaanaaq,77.48,-69.36,11.53,73,100,2.62,GL,2020-04-12 01:17:26
38,Puerto Ayora,-0.74,-90.35,82.4,74,75,11.41,EC,2020-04-12 01:17:26
39,Gornopravdinsk,60.05,69.9,33.08,92,10,4.16,RU,2020-04-12 01:18:20
40,Khatanga,71.97,102.5,7.93,94,72,8.16,RU,2020-04-12 01:17:23
41,East London,-33.02,27.91,75.31,59,83,2.73,ZA,2020-04-12 01:18:20
42,Tuktoyaktuk,69.45,-133.04,6.8,84,20,10.29,CA,2020-04-12 01:18:21
43,Makakilo City,21.35,-158.09,82.4,58,20,12.75,US,2020-04-12 01:15:53
